DATE,Bitcoin (USD)
03-09-2019,10628.00
04-09-2019,10586.00
05-09-2019,10574.00
06-09-2019,10319.00
07-09-2019,10485.00
08-09-2019,10395.00
09-09-2019,10310.00
10-09-2019,10090.00
11-09-2019,10169.00
12-09-2019,10437.00
13-09-2019,10382.00
14-09-2019,10360.00
15-09-2019,10307.00
16-09-2019,10269.00
17-09-2019,10185.00
18-09-2019,10155.00
19-09-2019,10305.00
20-09-2019,10168.00
21-09-2019,9982.00
22-09-2019,10035.00
23-09-2019,9684.00
24-09-2019,8556.00
25-09-2019,8447.00
26-09-2019,8063.00
27-09-2019,8194.00
28-09-2019,8228.00
29-09-2019,8063.00
30-09-2019,8305.00
01-10-2019,8323.00
02-10-2019,8396.00
03-10-2019,8241.00
04-10-2019,8160.00
05-10-2019,8153.00
06-10-2019,7863.00
07-10-2019,8225.00
08-10-2019,8187.00
09-10-2019,8600.00
10-10-2019,8589.00
11-10-2019,8264.00
12-10-2019,8304.00
13-10-2019,8280.00
14-10-2019,8363.00
15-10-2019,8157.00
16-10-2019,7993.00
17-10-2019,8077.00
18-10-2019,7954.00
19-10-2019,7965.00
20-10-2019,8235.00
21-10-2019,8215.00
22-10-2019,8008.00
23-10-2019,7473.00
24-10-2019,7439.00
25-10-2019,8705.00
26-10-2019,9281.00
27-10-2019,9571.00
28-10-2019,9222.00
29-10-2019,9431.00
30-10-2019,9176.00
31-10-2019,9147.00
01-11-2019,9268.00
02-11-2019,9320.00
03-11-2019,9215.00
04-11-2019,9414.00
05-11-2019,9315.00
06-11-2019,9343.00
07-11-2019,9197.00
08-11-2019,8759.00
09-11-2019,8798.00
10-11-2019,9037.00
11-11-2019,8721.00
12-11-2019,8824.00
13-11-2019,8766.00
14-11-2019,8630.00
15-11-2019,8460.00
16-11-2019,8488.00
17-11-2019,8500.00
18-11-2019,8161.00
19-11-2019,8123.00
20-11-2019,8083.00
21-11-2019,7619.00
22-11-2019,7296.00
23-11-2019,7339.00
24-11-2019,6906.00
25-11-2019,7125.00
26-11-2019,7155.00
27-11-2019,7539.00
28-11-2019,7413.00
29-11-2019,7751.00
30-11-2019,7552.00
01-12-2019,7414.00
02-12-2019,7315.00
03-12-2019,7296.00
04-12-2019,7186.00
05-12-2019,7389.00
06-12-2019,7561.00
07-12-2019,7502.00
08-12-2019,7520.00
09-12-2019,7333.00
10-12-2019,7216.00
11-12-2019,7275.00
12-12-2019,7194.00
13-12-2019,7249.00
14-12-2019,7060.00
15-12-2019,7111.00
16-12-2019,6877.00
17-12-2019,6619.00
18-12-2019,7309.00
19-12-2019,7154.00
20-12-2019,7190.00
21-12-2019,7143.00
22-12-2019,7550.00
23-12-2019,7318.00
24-12-2019,7260.00
25-12-2019,7195.00
26-12-2019,7195.00
27-12-2019,7247.00
28-12-2019,7304.00
29-12-2019,7379.00
30-12-2019,7191.00
31-12-2019,7158.00
01-01-2020,7174.00
02-01-2020,6945.00
03-01-2020,7336.00
04-01-2020,7354.00
05-01-2020,7349.00
06-01-2020,7773.00
07-01-2020,8170.00
08-01-2020,8035.00
09-01-2020,7814.00
10-01-2020,8184.00
11-01-2020,8003.00
12-01-2020,8193.00
13-01-2020,8110.00
14-01-2020,8757.00
15-01-2020,8832.00
16-01-2020,8727.00
17-01-2020,8876.00
18-01-2020,8901.00
19-01-2020,8710.00
20-01-2020,8634.00
21-01-2020,8730.00
22-01-2020,8665.00
23-01-2020,8387.00
24-01-2020,8425.00
25-01-2020,8304.00
26-01-2020,8633.00
27-01-2020,8903.00
28-01-2020,9418.00
29-01-2020,9270.00
30-01-2020,9494.00
31-01-2020,9343.00
01-02-2020,9375.00
02-02-2020,9314.00
03-02-2020,9282.00
04-02-2020,9159.00
05-02-2020,9623.00
06-02-2020,9766.00
07-02-2020,9805.00
08-02-2020,9911.00
09-02-2020,10175.00
10-02-2020,9855.00
11-02-2020,10280.00
12-02-2020,10344.00
13-02-2020,10240.00
14-02-2020,10380.00
15-02-2020,9901.00
16-02-2020,9915.00
17-02-2020,9712.00
18-02-2020,10192.00
19-02-2020,9592.00
20-02-2020,9610.00
21-02-2020,9697.00
22-02-2020,9668.00
23-02-2020,9964.00
24-02-2020,9668.00
25-02-2020,9301.00
26-02-2020,8776.00
27-02-2020,8817.00
28-02-2020,8713.00
29-02-2020,8552.00
01-03-2020,8490.00
02-03-2020,8924.00
03-03-2020,8770.00
04-03-2020,8765.00
05-03-2020,9054.00
06-03-2020,9163.00
07-03-2020,8886.00
08-03-2020,8068.00
09-03-2020,7945.00
10-03-2020,7887.00
11-03-2020,7957.00
12-03-2020,4980.00
13-03-2020,5593.00
14-03-2020,5183.00
15-03-2020,5327.00
16-03-2020,5074.00
17-03-2020,5362.00
18-03-2020,5427.00
19-03-2020,6220.00
20-03-2020,6215.00
21-03-2020,6169.00
22-03-2020,5792.00
23-03-2020,6583.00
24-03-2020,6742.00
25-03-2020,6753.00
26-03-2020,6772.00
27-03-2020,6320.00
28-03-2020,6270.00
29-03-2020,5898.00
30-03-2020,6401.00
31-03-2020,6435.00
01-04-2020,6719.00
02-04-2020,6790.00
03-04-2020,6728.00
04-04-2020,6897.00
05-04-2020,6780.00
06-04-2020,7320.00
07-04-2020,7205.00
08-04-2020,7344.00
09-04-2020,7295.00
10-04-2020,6893.00
11-04-2020,6891.00
12-04-2020,6861.00
13-04-2020,6871.00
14-04-2020,6866.00
15-04-2020,6577.00
16-04-2020,7123.00
17-04-2020,7055.00
18-04-2020,7272.00
19-04-2020,7125.00
20-04-2020,6833.00
21-04-2020,6845.00
22-04-2020,7144.00
23-04-2020,7479.00
24-04-2020,7515.00
25-04-2020,7536.00
26-04-2020,7766.00
27-04-2020,7773.00
28-04-2020,7774.00
29-04-2020,8789.00
30-04-2020,8652.00
01-05-2020,8814.00
02-05-2020,8992.00
03-05-2020,8918.00
04-05-2020,8900.00
05-05-2020,9038.00
06-05-2020,9132.00
07-05-2020,10008.00
08-05-2020,9790.00
09-05-2020,9555.00
10-05-2020,8774.00
11-05-2020,8557.00
12-05-2020,8809.00
13-05-2020,9336.00
14-05-2020,9815.00
15-05-2020,9331.00
16-05-2020,9353.00
17-05-2020,9700.00
18-05-2020,9733.00
19-05-2020,9784.00
20-05-2020,9498.00
21-05-2020,9039.00
22-05-2020,9173.00
23-05-2020,9166.00
24-05-2020,8674.00
25-05-2020,8892.00
26-05-2020,8837.00
27-05-2020,9200.00
28-05-2020,9594.00
29-05-2020,9427.00
30-05-2020,9685.00
31-05-2020,9436.00
01-06-2020,10212.00
02-06-2020,9509.00
03-06-2020,9673.00
04-06-2020,9800.00
05-06-2020,9569.00
06-06-2020,9665.00
07-06-2020,9764.00
08-06-2020,9834.00
09-06-2020,9779.00
10-06-2020,9899.00
11-06-2020,9259.00
12-06-2020,9467.00
13-06-2020,9477.00
14-06-2020,9316.00
15-06-2020,9437.00
16-06-2020,9535.00
17-06-2020,9461.00
18-06-2020,9368.00
19-06-2020,9286.00
20-06-2020,9362.00
21-06-2020,9280.00
22-06-2020,9701.00
23-06-2020,9624.00
24-06-2020,9284.00
25-06-2020,9233.00
26-06-2020,9157.00
27-06-2020,9001.00
28-06-2020,9123.00
29-06-2020,9191.00
30-06-2020,9129.00
01-07-2020,9239.00
02-07-2020,9089.00
03-07-2020,9050.00
04-07-2020,9138.00
05-07-2020,9089.00
06-07-2020,9332.00
07-07-2020,9264.00
08-07-2020,9436.00
09-07-2020,9230.00
10-07-2020,9298.00
11-07-2020,9235.00
12-07-2020,9314.00
13-07-2020,9230.00
14-07-2020,9258.00
15-07-2020,9195.00
16-07-2020,9131.00
17-07-2020,9148.00
18-07-2020,9175.00
19-07-2020,9222.00
20-07-2020,9161.00
21-07-2020,9397.00
22-07-2020,9546.00
23-07-2020,9612.00
24-07-2020,9553.00
25-07-2020,9709.00
